State: [np.float64(-0.05486803634227764), np.float64(-0.11796209411104416), np.float64(0.8871230242702628), np.float64(0.01619151469685142), np.float64(-0.008391321255365503), np.float64(0.02140679294809152)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196396400, Vel_cmd: [np.float64(7857196794464.754), np.float64(-1066303874219.2238), np.float64(8351894287645.882)]
State: [np.float64(-0.05099089493573369), np.float64(-0.124088549022553), np.float64(0.8968887002374856), np.float64(0.02035137079287881), np.float64(-0.01011817772505995), np.float64(0.038109307147897904)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196396501, Vel_cmd: [np.float64(8254429584351.989), np.float64(-1259934444309.7856), np.float64(8786469357566.718)]
State: [np.float64(-0.04514966112993278), np.float64(-0.13156538445949761), np.float64(0.9067510771609661), np.float64(0.0366640580194597), np.float64(-0.008256923584479377), np.float64(0.05138504899861889)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196396601, Vel_cmd: [np.float64(8651467752702.05), np.float64(-1437034393279.8704), np.float64(9219663251419.373)]
State: [np.float64(-0.037378924427322116), np.float64(-0.1403278351030333), np.float64(0.9167559339970021), np.float64(0.03056334404342125), np.float64(-0.01527896372625158), np.float64(0.063633984197831)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196396701, Vel_cmd: [np.float64(9045815847921.258), np.float64(-1615064137393.8154), np.float64(9651456015611.318)]
State: [np.float64(-0.027892486483629995), np.float64(-0.15017338637421881), np.float64(0.9282033305195353), np.float64(0.013858751474059029), np.float64(-0.0038769574555063283), np.float64(0.08218025619868771)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196396802, Vel_cmd: [np.float64(9424244998288.473), np.float64(-1861721836440.046), np.float64(10081645629742.889)]
State: [np.float64(-0.017153467563397168), np.float64(-0.16198006636278095), np.float64(0.940043670766194), np.float64(0.01854478316055481), np.float64(-0.011355586877882311), np.float64(0.09871102366785)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196396902, Vel_cmd: [np.float64(9799351831716.63), np.float64(-2102423900601.5737), np.float64(10510177064029.055)]
State: [np.float64(-0.004430039646137629), np.float64(-0.1744298343779711), np.float64(0.9529489182164385), np.float64(0.019727851532694254), np.float64(-0.008478432399265113), np.float64(0.1125796273178713)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196397002, Vel_cmd: [np.float64(10173542552564.576), np.float64(-2328077901558.2207), np.float64(10936901183592.434)]
State: [np.float64(0.009694414236044432), np.float64(-0.18794673534619294), np.float64(0.9660049016514531), np.float64(0.024899605057701762), np.float64(-0.015383893720757963), np.float64(0.12563581321749445)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196397103, Vel_cmd: [np.float64(10543530763779.926), np.float64(-2554974418766.7637), np.float64(11361796878619.459)]
State: [np.float64(0.025196746544969457), np.float64(-0.2022464239973213), np.float64(0.9794587343548385), np.float64(0.021285075646798237), np.float64(-0.008518080119379432), np.float64(0.14101761554120124)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196397203, Vel_cmd: [np.float64(10900740855198.016), np.float64(-2816223193221.654), np.float64(11784808432328.36)]
State: [np.float64(0.04168085971197157), np.float64(-0.21688637092231575), np.float64(0.9929599953152085), np.float64(0.010918954797512261), np.float64(-0.009307766229104175), np.float64(0.16183407809768796)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196397303, Vel_cmd: [np.float64(11233256346205.188), np.float64(-3149014570669.355), np.float64(12205929202630.99)]
State: [np.float64(0.05977341530289126), np.float64(-0.23196154604770014), np.float64(1.006527426192047), np.float64(0.005613231170559511), np.float64(-0.012378398544042333), np.float64(0.18147295141643474)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196397403, Vel_cmd: [np.float64(11558286021468.738), np.float64(-3481974189022.9907), np.float64(12625149922764.422)]
State: [np.float64(0.07842040579670857), np.float64(-0.24735130409179643), np.float64(1.0185247038366312), np.float64(0.007195317852408825), np.float64(-0.013654601940471932), np.float64(0.20012579321495935)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196397504, Vel_cmd: [np.float64(11875848461729.406), np.float64(-3815848515933.0137), np.float64(13042690484761.28)]
State: [np.float64(0.09863868702049708), np.float64(-0.26305096045607124), np.float64(1.0302954146020353), np.float64(0.01458989283807542), np.float64(-0.014093378145863646), np.float64(0.21799097257539674)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196397604, Vel_cmd: [np.float64(12185593799374.215), np.float64(-4151724545051.3203), np.float64(13458582618168.639)]
State: [np.float64(0.1187919568734258), np.float64(-0.2781654094805295), np.float64(1.0410337319821301), np.float64(0.004741880136521909), np.float64(-0.018245146001546655), np.float64(0.23580237011919958)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196397704, Vel_cmd: [np.float64(12484751799497.799), np.float64(-4497745789895.861), np.float64(13872970904467.47)]
State: [np.float64(0.13951224558441538), np.float64(-0.29312636958665406), np.float64(1.051139202647791), np.float64(0.0016563441586147454), np.float64(-0.01654637182511564), np.float64(0.253780462438175)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196397804, Vel_cmd: [np.float64(12771972122603.914), np.float64(-4856344407048.42), np.float64(14285943970644.78)]
State: [np.float64(0.16107401183437856), np.float64(-0.307828131093441), np.float64(1.0610193448819458), np.float64(0.005348357562548435), np.float64(-0.014579463203983485), np.float64(0.2722983390130699)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196397905, Vel_cmd: [np.float64(13044755490089.408), np.float64(-5232174393161.863), np.float64(14697533372809.816)]
State: [np.float64(0.1830418976928119), np.float64(-0.3222119880498413), np.float64(1.0707374647960222), np.float64(0.00593051237450828), np.float64(-0.015086296839024025), np.float64(0.2920004363276788)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196398005, Vel_cmd: [np.float64(13298547309511.34), np.float64(-5633878748868.982), np.float64(15107761801370.078)]
State: [np.float64(0.20501962748254002), np.float64(-0.336118938646952), np.float64(1.080024866289497), np.float64(0.00494148151936791), np.float64(-0.019629428302236546), np.float64(0.3160420146185736)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196398105, Vel_cmd: [np.float64(13512431370536.512), np.float64(-6104622617713.1875), np.float64(15516689576265.574)]
State: [np.float64(0.2274740800154887), np.float64(-0.3491301957250283), np.float64(1.0897186851056602), np.float64(0.005439815145602515), np.float64(-0.019086211680720208), np.float64(0.33853311281541487)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196398205, Vel_cmd: [np.float64(13718691004841.227), np.float64(-6565875038018.34), np.float64(15924259780802.057)]
State: [np.float64(0.24994841636783785), np.float64(-0.3618015710407365), np.float64(1.0988013072981775), np.float64(0.006219590416052912), np.float64(-0.014589494531873255), np.float64(0.35774298752592976)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196398306, Vel_cmd: [np.float64(13931237313664.459), np.float64(-6992018849561.108), np.float64(16330558009980.902)]
State: [np.float64(0.2726960723882441), np.float64(-0.37360345154754665), np.float64(1.1078313762448675), np.float64(0.011729697232583646), np.float64(-0.012667651526594383), np.float64(0.38033981639986125)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196398406, Vel_cmd: [np.float64(14104445050435.195), np.float64(-7474772239762.892), np.float64(16735591623618.479)]
State: [np.float64(0.2957521511661901), np.float64(-0.38455610716690175), np.float64(1.116654581298378), np.float64(0.00604458978874064), np.float64(-0.014348566013936706), np.float64(0.40213981944049054)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196398506, Vel_cmd: [np.float64(14266444782401.576), np.float64(-7955695030283.502), np.float64(17139389591958.451)]
State: [np.float64(0.3177645899363625), np.float64(-0.3947336574873481), np.float64(1.1245244106604786), np.float64(0.007977951227510134), np.float64(-0.01559688991512999), np.float64(0.4246437056036574)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196398607, Vel_cmd: [np.float64(14405549207847.586), np.float64(-8455555980162.222), np.float64(17542085430453.064)]
State: [np.float64(0.34172953707927073), np.float64(-0.4049106971392213), np.float64(1.1333766287227371), np.float64(0.007068917631622487), np.float64(-0.014142347856499544), np.float64(0.4506242550130217)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196398707, Vel_cmd: [np.float64(14495240348055.027), np.float64(-9014154674471.414), np.float64(17943541560524.41)]
State: [np.float64(0.36510129923813905), np.float64(-0.4139864150677161), np.float64(1.1422472975491766), np.float64(0.012507054220329994), np.float64(-0.005705548444638976), np.float64(0.4707833691238806)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196398807, Vel_cmd: [np.float64(14618324027652.441), np.float64(-9496156520307.186), np.float64(18343755398235.97)]
State: [np.float64(0.38215405423833987), np.float64(-0.42019906728802114), np.float64(1.1485392945398596), np.float64(0.009688275231147002), np.float64(-0.0039007351819376644), np.float64(0.48905600677285554)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196398907, Vel_cmd: [np.float64(14744646421858.79), np.float64(-9957514266039.746), np.float64(18743088073558.996)]
State: [np.float64(0.4074595255091119), np.float64(-0.4286087007012807), np.float64(1.1574555718322181), np.float64(0.008479008185509326), np.float64(-0.0036526035239267673), np.float64(0.5137833203365778)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196399008, Vel_cmd: [np.float64(14788478999677.283), np.float64(-10520189993588.29), np.float64(19141172069286.812)]
State: [np.float64(0.43597064645787714), np.float64(-0.43641246755927066), np.float64(1.1667244099105627), np.float64(0.00816250162359906), np.float64(-0.008691733191698912), np.float64(0.5389171301585179)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196399108, Vel_cmd: [np.float64(14805671773182.338), np.float64(-11094656559337.045), np.float64(19537958011060.984)]
State: [np.float64(0.46019275431740736), np.float64(-0.4417252217127468), np.float64(1.1740876895245687), np.float64(0.004447984901908938), np.float64(-0.010495893509703426), np.float64(0.5631299848907766)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196399208, Vel_cmd: [np.float64(14811241933783.59), np.float64(-11660852673143.549), np.float64(19933712762723.55)]
State: [np.float64(0.4884337721319564), np.float64(-0.44637905913089476), np.float64(1.182412529200722), np.float64(0.007521812672070712), np.float64(-0.004671774362997607), np.float64(0.5864723741661655)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196399308, Vel_cmd: [np.float64(14805468912078.58), np.float64(-12218464310820.521), np.float64(20328301662642.375)]
State: [np.float64(0.516076852916243), np.float64(-0.44973942568933617), np.float64(1.1906158954853931), np.float64(0.015536312941362089), np.float64(-0.0022350788681235394), np.float64(0.6077106915184968)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196399409, Vel_cmd: [np.float64(14805441733303.254), np.float64(-12748602272568.275), np.float64(20721741722552.746)]
State: [np.float64(0.5458344340210419), np.float64(-0.45241972320828727), np.float64(1.1989371050869495), np.float64(0.0141727561484397), np.float64(-0.003566317584148025), np.float64(0.6302015646303959)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196399509, Vel_cmd: [np.float64(14769595108619.33), np.float64(-13300146708336.613), np.float64(21114016439092.74)]
State: [np.float64(0.5750283505427553), np.float64(-0.45435319648042394), np.float64(1.2069297343207246), np.float64(0.010038484591052046), np.float64(-0.010472007681487846), np.float64(0.6516280671177453)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196399610, Vel_cmd: [np.float64(14727921877462.021), np.float64(-13838234777697.506), np.float64(21505171828284.023)]
State: [np.float64(0.6064353856805597), np.float64(-0.45567245964884695), np.float64(1.2156148554738175), np.float64(0.009539696245128222), np.float64(-0.005891174085635685), np.float64(0.6742702348858071)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196399710, Vel_cmd: [np.float64(14649046941551.906), np.float64(-14395620090414.33), np.float64(21895110910129.164)]
State: [np.float64(0.6381671702867978), np.float64(-0.4564954145432987), np.float64(1.2245869917543706), np.float64(0.013168974808988276), np.float64(-0.008674118181057159), np.float64(0.6960181645823204)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196399810, Vel_cmd: [np.float64(14562420359050.992), np.float64(-14940569641560.086), np.float64(22283793489608.48)]
State: [np.float64(0.6692056570136047), np.float64(-0.456541967182959), np.float64(1.2337854813540043), np.float64(0.012814957877471108), np.float64(-0.011352181331562851), np.float64(0.7180188042760847)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196399911, Vel_cmd: [np.float64(14451795057083.041), np.float64(-15489303819264.92), np.float64(22671187867082.52)]
State: [np.float64(0.7015976982333751), np.float64(-0.4556037996777599), np.float64(1.2439351206613531), np.float64(0.012022807305243893), np.float64(-0.011364527303682532), np.float64(0.7399002539053668)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196400011, Vel_cmd: [np.float64(14322566608250.402), np.float64(-16035625689728.426), np.float64(23057160838836.418)]
State: [np.float64(0.7325752327449156), np.float64(-0.454007051014635), np.float64(1.253827988828274), np.float64(0.015693696790055434), np.float64(-0.00813265563947697), np.float64(0.7602986056250762)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196400111, Vel_cmd: [np.float64(14197692509700.02), np.float64(-16559688946109.28), np.float64(23441748364371.88)]
State: [np.float64(0.7649145942184288), np.float64(-0.45145653790989654), np.float64(1.2643796176408224), np.float64(0.011351135231904036), np.float64(-0.00709607595532408), np.float64(0.7798619923915979)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196400211, Vel_cmd: [np.float64(14068327043402.006), np.float64(-17070468378971.39), np.float64(23824858187586.207)]
State: [np.float64(0.7961019361469982), np.float64(-0.44840805524608296), np.float64(1.2740849373409648), np.float64(0.01388923007004982), np.float64(-0.007888594316490333), np.float64(0.7981583438395944)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196400312, Vel_cmd: [np.float64(13943501870272.984), np.float64(-17561829058382.719), np.float64(24206608829797.883)]
