State: [np.float64(-0.17609720588645555), np.float64(-0.3042186010698078), np.float64(0.8710752162181908), np.float64(-0.005046587778553141), np.float64(-0.03743519277877837), np.float64(-0.02570564331108657)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196781622, Vel_cmd: [np.float64(297776680207.1535), np.float64(23863961176.30807), np.float64(438190214676.98474)]
State: [np.float64(-0.17624289218162878), np.float64(-0.30273612181302156), np.float64(0.8735228597111723), np.float64(0.003318474258522474), np.float64(-0.026006531125069628), np.float64(-0.026911772254192858)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196781723, Vel_cmd: [np.float64(595517448724.5801), np.float64(48367812200.38133), np.float64(876037649181.3083)]
State: [np.float64(-0.1764434425899911), np.float64(-0.3006996400114596), np.float64(0.8759284749821272), np.float64(-0.005359614008079197), np.float64(-0.0371024810160898), np.float64(-0.017529210281144417)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196781824, Vel_cmd: [np.float64(893957628926.5757), np.float64(64020169733.83764), np.float64(1313548189363.8723)]
State: [np.float64(-0.17655908218697552), np.float64(-0.2981522516551635), np.float64(0.8773480340360589), np.float64(-0.015868042366177303), np.float64(-0.028591699543546532), np.float64(-0.020645613781740145)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196781924, Vel_cmd: [np.float64(1191717364240.9763), np.float64(88840978507.07477), np.float64(1750859927449.466)]
State: [np.float64(-0.17543119396340706), np.float64(-0.29505197605637823), np.float64(0.8802882454224256), np.float64(-0.005872006711296443), np.float64(-0.020772360254688954), np.float64(-0.022408703746883477)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196782024, Vel_cmd: [np.float64(1489332284752.001), np.float64(113333897458.69452), np.float64(2187759903709.659)]
State: [np.float64(-0.1747798523426067), np.float64(-0.29177111674630357), np.float64(0.8823966329754085), np.float64(-0.018594084364146814), np.float64(-0.022696433553098083), np.float64(-0.02076763385677519)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196782124, Vel_cmd: [np.float64(1787240385360.9666), np.float64(132616352178.82204), np.float64(2624364610898.1235)]
State: [np.float64(-0.17358495829295056), np.float64(-0.2889059956676754), np.float64(0.8854511718097204), np.float64(-0.011445894226883387), np.float64(-0.026025250869237505), np.float64(-0.01814554983056936)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196782224, Vel_cmd: [np.float64(2085201039165.5342), np.float64(148720040052.39304), np.float64(3060541545275.7188)]
State: [np.float64(-0.1715383204308919), np.float64(-0.28531685834933374), np.float64(0.8884881695762405), np.float64(-0.005111391180541632), np.float64(-0.02429076204384077), np.float64(-0.021452723447008958)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196782324, Vel_cmd: [np.float64(2381970094800.4526), np.float64(177192803436.8805), np.float64(3496293163380.922)]
State: [np.float64(-0.16976485751799306), np.float64(-0.28248609071854686), np.float64(0.889948887730625), np.float64(0.005734373400281693), np.float64(-0.026942276216313968), np.float64(-0.022568116224690713)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196782425, Vel_cmd: [np.float64(2678779386448.862), np.float64(201602342879.52676), np.float64(3931840215263.7686)]
State: [np.float64(-0.16724486466276248), np.float64(-0.2797156191021989), np.float64(0.8924063002788759), np.float64(0.002486496768800724), np.float64(-0.037581173222258596), np.float64(-0.022024391052504023)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196782525, Vel_cmd: [np.float64(2975566704893.6465), np.float64(221581993112.2991), np.float64(4367043118875.57)]
State: [np.float64(-0.1657445961795055), np.float64(-0.27740758087051953), np.float64(0.8938162079815923), np.float64(-0.003078391534365772), np.float64(-0.03354486115394105), np.float64(-0.012443978659196235)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196782625, Vel_cmd: [np.float64(3274218706823.853), np.float64(211532591861.60602), np.float64(4802048572013.495)]
State: [np.float64(-0.16266890630027528), np.float64(-0.27486459421569287), np.float64(0.898669704538682), np.float64(-0.018930007386947164), np.float64(-0.01493160803898296), np.float64(0.01021674757342347)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196782725, Vel_cmd: [np.float64(3574756204375.6113), np.float64(148897996325.76654), np.float64(5236374317338.473)]
State: [np.float64(-0.15928389610729854), np.float64(-0.27156710512952825), np.float64(0.9043983499963686), np.float64(-0.027310122197637576), np.float64(-0.01214883560154782), np.float64(0.03209972232324133)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196782825, Vel_cmd: [np.float64(3873457075966.6895), np.float64(75598764426.57474), np.float64(5669897794638.412)]
State: [np.float64(-0.1538810262978385), np.float64(-0.2669938515213524), np.float64(0.9124535494808645), np.float64(-0.02904260394117314), np.float64(-0.007438378111465609), np.float64(0.047487774030860005)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196782926, Vel_cmd: [np.float64(4169750287361.8223), np.float64(16175680729.447113), np.float64(6102293181696.683)]
State: [np.float64(-0.14669302520951036), np.float64(-0.2607226275214489), np.float64(0.921771946683819), np.float64(-0.03729644454638093), np.float64(-0.001036046519418018), np.float64(0.06920001713480738)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196783026, Vel_cmd: [np.float64(4463635565799.902), np.float64(-80849679716.44333), np.float64(6533383574011.168)]
State: [np.float64(-0.13799157529782927), np.float64(-0.2531179188928897), np.float64(0.9315095263526807), np.float64(-0.039464240090439966), np.float64(-0.012153419241774295), np.float64(0.09568453600383428)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196783126, Vel_cmd: [np.float64(4752944832148.109), np.float64(-213604936905.81445), np.float64(6963110267180.823)]
State: [np.float64(-0.1273907880267213), np.float64(-0.2436716016362351), np.float64(0.9418497217058683), np.float64(-0.04437297876305864), np.float64(-0.013690793892943537), np.float64(0.12724557851021498)], Target: [2.0, 0.0, 4.0, 0.0], dt: 1746196783226, Vel_cmd: [np.float64(5034741774574.187), np.float64(-387615454072.6266), np.float64(7391388867902.821)]
