State: [np.float64(-0.02740560469320363), np.float64(-0.21428934785270834), np.float64(0.8872337343212333), np.float64(-0.10782192869158358), np.float64(-0.007076131015541656), np.float64(-0.0543529285262786)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195462353, Vel_cmd: [np.float64(5361984629473.223), np.float64(550387591837.8373), np.float64(3120354236580.6597)]
State: [np.float64(-0.017052732321068905), np.float64(-0.2025744983720634), np.float64(0.8981671570123301), np.float64(-0.10863692321129964), np.float64(-0.013403948495369368), np.float64(-0.042151274108707636)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195462453, Vel_cmd: [np.float64(5644090954263.045), np.float64(507353449692.1168), np.float64(3274660280547.3286)]
State: [np.float64(-0.004299604382538671), np.float64(-0.18785321971509059), np.float64(0.9110243367946823), np.float64(-0.1186082202402635), np.float64(-0.011131821858499811), np.float64(-0.026718384053406093)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195462553, Vel_cmd: [np.float64(5925625168749.796), np.float64(437532941243.90063), np.float64(3427165742373.2563)]
State: [np.float64(0.0028239018515929335), np.float64(-0.17907712774350773), np.float64(0.9175980436833121), np.float64(-0.10232619563406457), np.float64(-0.01557063883865743), np.float64(-0.022022562652082908)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195462654, Vel_cmd: [np.float64(6201103596231.339), np.float64(425266223928.1368), np.float64(3578750590241.256)]
State: [np.float64(0.01425962148605296), np.float64(-0.16456206392265946), np.float64(0.9275478586577514), np.float64(-0.11445778186955524), np.float64(-0.012308237818802142), np.float64(-0.008042684009789813)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195462754, Vel_cmd: [np.float64(6478561358901.26), np.float64(349490116570.3157), np.float64(3728942017512.4844)]
State: [np.float64(0.02832418599560188), np.float64(-0.14648928594293759), np.float64(0.9394642393784118), np.float64(-0.1102930712562336), np.float64(-0.017493512677560368), np.float64(0.006930433108099469)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195462854, Vel_cmd: [np.float64(6753385596390.566), np.float64(258378913033.0835), np.float64(3877464616730.474)]
State: [np.float64(0.04084984422057368), np.float64(-0.1300732802886126), np.float64(0.9490925141154352), np.float64(-0.1051419858656744), np.float64(-0.015405717166725869), np.float64(0.021165660821816902)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195462955, Vel_cmd: [np.float64(7025018911916.922), np.float64(163462335211.0403), np.float64(4024638825414.178)]
State: [np.float64(0.05941652135280411), np.float64(-0.10463151558787939), np.float64(0.9631868621293834), np.float64(-0.1086509910426327), np.float64(-0.025780787450820415), np.float64(0.04533440077777524)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195463055, Vel_cmd: [np.float64(7292904877212.615), np.float64(-12843076740.560913), np.float64(4169839192884.4526)]
State: [np.float64(0.06946737353142164), np.float64(-0.09070581539844967), np.float64(0.9705316757393646), np.float64(-0.10637828009790025), np.float64(-0.025496354039132443), np.float64(0.054683398870441546)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195463155, Vel_cmd: [np.float64(7556964930039.785), np.float64(-90662875864.24976), np.float64(4314010956850.744)]
State: [np.float64(0.07006992819952268), np.float64(-0.08997121988206656), np.float64(0.9709324898455527), np.float64(-0.10743396470921851), np.float64(-0.023889468271446213), np.float64(0.057555254848683214)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195463390, Vel_cmd: [np.float64(7821058743665.549), np.float64(-122798856442.36017), np.float64(4458126588874.593)]
